mint_address,meta_address,meta_name,meta_uri,inmate_number,image_uri,genesis_order
HWyKeBkwCSePnPx9pgNu2ybz3HAsD8QRDUkPQdR34FXA,CzRNJAQxvd2cj571CymtZXyfQ2x9M21rbUHh3z8fAoYA,"","","","",552
3DXMTwG6zCxvZLzJJHE8dsH8yEpWhebFKmELTEEREiyA,FBkPwF39NmcSDNXuf5m3CwuQ47B8jj5pLdhYk7FPY25i,"Degen Ape #3494",https://arweave.net/Fs1MjQmk298Et8696oLlBXRnP1-agDba2LbHuzrS6AM,3494,https://arweave.net/yel2WT0lR6dPeaFTJ6kL0Zph1J1zZE-1Z4-R3cv4OM4,553
6LxJ4MWUxY4vbTZdX95Uuufah4KfmDrJoyv7BbbZ5N7X,EdHsGM9gSWrMhS1CQkW75b74Xhjy4voQoks5Qa9mEE1m,"Degen Ape #8755",https://arweave.net/ejMfNk1tXT7Z9nii8a4EHTm2v_4E5qSS81Wlswh7zB4,8755,https://arweave.net/tO3CMOmi5tqTluJyR-yobuG4VXu48Lnxyj1c66mqHtc,554
DaycQtFSh21w4j2qWDARWa27Gg4ngpgLC8FisKN4k442,HUUPyLWWKk5X1ARCDytvh6UdLnYWWj1HAeXirS5tqSy8,"Degen Ape #3754",https://arweave.net/vseXxjSV1FU2HsUNbXuDC39_BUVnO9xm0VYnDe63fM0,3754,https://arweave.net/mvVZ5-eJncPPupGRT6sRraP-z2_--AvimAEd6XP2q5E,555
8whCKiu9MfZTtTzp4S3R2grYfQjj3rAkhnoHCQkj243q,AeC9Zpq3m7rZKYr94QzkDenLfTwirHtScSxoXFfPAunQ,"Degen Ape #44",https://arweave.net/q9xwDCVLY3w9VqsJJKxAJKSC_ySAvUZ8N52zoGSJA-4,44,https://arweave.net/mWTRydaXRj9LGGrY0CSYc0VE7JLsbkTvg8zX21Vummo,556
CZ1uDrwvtdKCJjJPVBHAARQYR54JGwp4VjdoBAvyg2K9,HSkzDt8EePNMb9AcqbMUUkVHxQt14uW2uU9e489n1qkc,"Degen Ape #4762",https://arweave.net/th0_Y-Mv1iwD9NwJOU5K-eHT3DCz0KsT-80hWYP30nI,4762,https://arweave.net/yu-2DOrT_3oqFUaGcJIvCEpKJjglN_0eftmo1niTvLQ,557
K7mfje6Yn7z8MGEyLwa81dHjGYzFzzvBYrvcN9MfNhX,GYhMD4QEUA36cYesdjaCmpXXErPtfNdNGK2qS2kYcNkQ,"Degen Ape #9979",https://arweave.net/t5mQfszzcWF5iperbS6eRaOhKqJzsmma_LMaEaKze5k,9979,https://arweave.net/XAft8a1CgOQHXy-IZOF30n-IFAbtILzf25CU17cxnqY,558
CVqrRJmmKdfmNHK9P6i5pTt9ghyitWEa5XSvtsvkQg9,62kyHS7r4mCNwofx3mShcr9YagiC9JA1RN5bkaJZRNjX,"","","","",559
DS6tCCubmSpD6ywEomWxnSZ75GXy7NGJaYuwMvHpR7eo,HLr2eqevME4jpXfm74R6Gi6WwAGHe2BbRDaroohG1hJ1,"Degen Ape #152",https://arweave.net/RgrAu-dGqBIrpkIg35cDgOQ81Rfp4uj9a7LSCN5AQ7M,152,https://arweave.net/GTXkcSRHg5-TOJi_xb8rLRibbY2gQZJwj_HBNx0VK-k,560
A4DYuSmTQ5Mek2fDNBiyTUVBRoYpAkf2GHdwz3f82j3L,8QoS2pjAQ8653Ew3ww8VzTZwUhr9Qrwh3cbdE4zeygtL,"Degen Ape #5052",https://arweave.net/G62-2nZkn5AhibJ_900XlLy-iUf2cVvWoqFe57hGN7s,5052,https://arweave.net/oVpASRsogO2W2QDuPLEnE0Gu7pGP_-lE6wP_VFODr_4,561
Agh4enLiVuMb3rnSrwuqv3w2psbbymKdgiHoYkbTpx9k,2UeLTvhMDt8CS1UqRDttqDUJ5m1ZoVus4A5HevqLHnuw,"Degen Ape #9664",https://arweave.net/_LlvY4weiWfuVgYhnqQBOtFk94aXB5mdQy9GJmXvFl0,9664,https://arweave.net/UWMoupP7XFMw_swp_0ZyazivBGfGB11HV6WIV3L54ng,562
7AWjEGBrAgTdtgw5NRuuztjuwdwgtwAeaazHQSgVt8nt,AR7dGC1WzLxwjafGuongMj4foxMpn2dMUQTBtcRPyg9Q,"Degen Ape #1055",https://arweave.net/yvi1mT9KkKXoxcT7lwr7sC1Ph58NgjPSI0Cw7Z_BgiI,1055,https://arweave.net/1OSzjDFxefKIqc2u4Me6sY1z9ULmWjcDxVx5gKk2EUo,563
BL5P8ZsQFW5JiGaBiGWgEUGzygwgJ3Rwicg6PHF7YQy3,8HEDXj6MVVC8EGsJafuisrUgVkRiZWrp7U8GaaAQo1qY,"Degen Ape #2524",https://arweave.net/ThTv1W3ZrIyIn6bY2ouPNrmZX2D_a0N4MB-xJRkeutw,2524,https://arweave.net/d8YT7SbxGMDvrb9hfTUODGl5yCei3xVp5264RkjnnFw,564
CFuyapXNucSoUCpyAe9VC1L7xVuzjK1GvEZGpCag9xPb,5qCJwsJFB4rkxyiYgMhS2WWYajirwQQjmcGYN8ScwK1o,"Degen Ape #896",https://arweave.net/Wu03TopSYZ1bXcruiLxvhsP-_DNpo0Emcedxo8a7CHo,896,https://arweave.net/T4FQ4uczOpjDgWguQpZfiOgsD1tYFIWkpya_eiwUslA,565
H5CevH4cw55pZdXUiZp1yuTiGu9RSCh4Nt35fathZ5Jb,BNdcb2ULcSqvdVp6UW5XmUvas25c2mwCz76QdXCWCh3S,"Degen Ape #6364",https://arweave.net/IhISSAPqbYsNHJgFNxoITvjZmUaGpGQYSwJTcMptfxI,6364,https://arweave.net/NjIotn_3oJWQ628JfYzJ_mI3SJxsA8HZJx1lBpkKW70,566
AUn2bGMkz9on2qiuxQHLAEwVfCNyeE64bu3m2DWAU2yh,HUybRhQmmmwPgHmGTassfhupPvV6sLMjwJNHH1YtDPBv,"Degen Ape #9299",https://arweave.net/7VPVy08NXHN6B5TlJKAHwojYY95y0ANZURfb-sGkdp0,9299,https://arweave.net/AM-S5n5-ahbCtkZpP2up3gmSautqw3cwu3HVAhXq4YE,567
FfiyegRMepXE6vADoq3ScUuTwt5J7AyuFgPCxk4gB2Dw,3zqPaT8EeaAKWDk2fr8oeBU5S9JcRWkGiDF3jMYKTcym,"Degen Ape #158",https://arweave.net/XIMuHGcdTuEvmnkfjfjcer0P3BsjjR_4tMjAoH120MM,158,https://arweave.net/-iAKyf5VEvcYPPAtqLxFY4GVpJbnGMKVrJKU6HhmgwA,568
13pNHZacEnNA3impGwDr2qizY1EmJQNqFDWZWPei9Pyc,AMvhezufxkuYDXMw4LtmNhzhYYZn5H53bitYFFQM1iCZ,"Degen Ape #1895",https://arweave.net/kKxxKfKRINIisWusihCBxUa2Pzs6B8qyMnTY5JxM4HU,1895,https://arweave.net/hAhzR9iHTslK_uGLdAtUIqyTQE3cXQu8MMwpXlO5S5w,569
6H7XUneTaLuph8oN2PGiBJY7pEirzZ4gj4NtT78eghP9,6Z9m4gk7Dx7eMx5RHt8JJ2Ukq1kaFpxTSDAspVxhGL4c,"Degen Ape #6512",https://arweave.net/GFdSPi6T3ymGw1BIlnYnDaXR-YnxBWlTrANNuQr7MyI,6512,https://arweave.net/DIa1iBkaCD3Al-DBSMBwn2a0iZ6PrJSiEgcSWEO32js,570
CcVeRzGBtjtYujAdCDhz8NPR1rCcUCkPsNfx23fDFzBJ,32vb6FGEsifx4EZJsgmxu4Hq3nH8z7c8vvBhVZfG9yZv,"Degen Ape #4235",https://arweave.net/aqXge9AWDe3ZW5We3XneWDXDckEPt3-e0Y3iDWyeRx4,4235,https://arweave.net/ZgXL9HdoqEz4ZzKsaiCC23OhZGSEzxqBYHJVCrNxm-s,571
HQZvLiWtPaFewDibiHxB2rQRSciyQvpU31HFsYZG5yGz,2ycFr6zwmBN53rskSrohWXD59mvBoHMrDEVKBgZvJdHN,"Degen Ape #4619",https://arweave.net/dYLDwHq-tRCpN1cqBLGjv6gWkAj3RyFn-wZCCoucLmk,4619,https://arweave.net/_U9rsjmbQW7XpjTb-hZUeSniEEIBT2I_CH9xa33p1fU,572
6P5vEbfWHRQu88xQh7apEwr6GFCt3zxGWxattyECwUdF,6k8dndjBdcm5maEiXLdQd2iF6YT7egqihWFGCWzn23h8,"","","","",573
8NDrcoqL4ph5qS9Z2unAy8Ju9Uw7XZYoffjPFT6fCPyT,DzpMMKypEt6yMRWTyfspDM1NpaAuK7S5WMkcTRgTJLko,"Degen Ape #8152",https://arweave.net/rQDq6wJ99TkXNWe1_EWAEqiJTwByOAmCDxKQ-cx0Gwg,8152,https://arweave.net/9MrqpXZcB5RDVbSKLdeayf5PAouXnFqoUxRy8f2z46U,574
4cJoPZM9kowJtpzhjTAJW6aZSZUwZdZysCSYg5JNCfTE,GrayMaRCuX2ecrPyf7w8QhpbYJX7WvnV26ePUBNAahyU,"Degen Ape #7390",https://arweave.net/9sDHRhKmvpKejMDvtTifHeMoRlbpkC2nlLfQ-D8TktQ,7390,https://arweave.net/9saZXX3sqACoiIu-zx4pN-S3a_6UUtbeyIZ4NnvRrNE,575
HcL17RXPJG293w3daRktQ5R9JSqtR9VyV84S4YoUn8z8,8m1rJ2icnuWBuSwX712ZcXSFeg2EJi9iNwahEM2RZzNK,"Degen Ape #6820",https://arweave.net/seJr7stxNo0PdsUyVfefagiiwZODsKO1OQCaY9M0mvg,6820,https://arweave.net/xvvB0xxC8nrWFpPEx6KSICORrG4LSvnYNDcA_hMsg5g,576
Az1VjRzrSu6bU58Papj8cSPxiPQB1kw9EneccUF4TziN,2SZ3G1fApimWtxAmeb8wvECWxArcUdzC4JnRg8Lgi2qM,"Degen Ape #9937",https://arweave.net/RNyriwpx6LpDSkPhQELqBW4kiM1-11f60OtPHvhaxPU,9937,https://arweave.net/3SJQHC9U8nvhnFNGGnjZFE7gc5J0ehICllAnZGwwuFw,577
8ZBZjx5qGech8uF75uzW9HcxrNhPXfgs8F7VuERVdrZz,GUiSCQ3bwX3EkpCNPiGRkWH4YRWmxX8kG2sadY6ZoAjY,"","","","",578
C4V8avqbnUdkZA5AAH2aLfCpks8T4WFz7bpJjoNoa4Zm,8WhiRqq6ZK5kPTHtAvyteWJc2PYSzp84bpQp5xaTFYpt,"Degen Ape #3424",https://arweave.net/64Fv9G_GZGoSAcR6gC8UJBhuEbWieGe8EWIIUb9GXdE,3424,https://arweave.net/jib_r5nA3wKYdSGhTNvxEVDbe8GsMyevTywIOYK6o08,579
6YD8RheLgVeDoxnJquiEFFFFSNBxLHr22sjH42QRrNt,J9pPK7YUVQPKVPabSQXUvxkbLwusNig1DXjt1SEFALPv,"Degen Ape #5616",https://arweave.net/6KO--GGEl5zpRlAT13tOHND130Eq_8UqVinQf3r7e9Q,5616,https://arweave.net/ZFAqQsHuSk4dt_Ae3jqtvc8yaGuDRhj-tIMEOStlAUY,580
8JgAR39M1sEwNNiTtmiAPGSyFxt353zHpNhgJnVmYsYX,4dKfBxV98nihss4s4Tyer4LugZjMdyB47kuupmy5XLVo,"Degen Ape #3827",https://arweave.net/xtM599hd4K_2kFGuD-Gwq9la2BxOy2q6tRVSErH7N3E,3827,https://arweave.net/Z32mWGyPoNtyUqCCM6i19s9hA_XgI0nTBlT3H4nQcuA,581
4KQQK64C4PqqoqzkAren8yA1598oEMo6G4URiijKvV3P,CmCn7JSPinErnemxVEQmLnCSxdVL3KP1HWrdF8ZWowj9,"Degen Ape #4764",https://arweave.net/Oil76lXs8SkAHJM5WDHYZJWnN9R7oLOLNRaHF8H9Oug,4764,https://arweave.net/xyx2hZh_YIgvXrVTrhkifuq-fwhlJOO32YiAa0m76sA,582
2GER6orNrhm9xtzx84iAK63mPqC7HfMRExg1SbNGSjFC,hJGcQdwRncA1nHQgMsbjmimw3renMu5af1RtfjJThEv,"Degen Ape #5883",https://arweave.net/arwjf-IGxKmfmI1cfe4zXieOjnyL2pQPZ5Usve8Ego0,5883,https://arweave.net/IoNV5cO22sxlsgb6CPFj_gbRMtT_jz9fNEOPnxM1hEk,583
F29TcHYxSSmUPYMeYne57mAu1syv8xkooC2KFHXDLaop,48621UbUMu6VMrrkWm3kWZSGLDkMbN6dKeTQQJmrCLG4,"Degen Ape #3732",https://arweave.net/ewhDgkT6wENWiaBMFmhopP6VmU4crwHqecWlOHDLH9s,3732,https://arweave.net/AffPoGlROHE9ZyLhua_rB2zkjesOOmYDTJo2wdKKpsE,584
CSX5ZRFzpVjhCtsmQnhNpWY6TvcXCB54gkwY1kch8zL,CtCidiLrJk2xJcYX5xeS2Uxx5iy5Qfvh91m4EmmDbmLr,"Degen Ape #2819",https://arweave.net/Z6V2WSHZUcr3LxVkRfDDXImfu4IwB6hNgoBszdhynGw,2819,https://arweave.net/m8HhBAUAi_nIimWfOnImBILEaeT2zQs3CJdx-0M7u7c,585
8FsTEAG8H3pTTQ7XDFcetY2PLinDwc6iUV7N4ycNPNSq,CfhPZvSCSHUumwWL5XyonEbzXqTHe7QPTKrejWR6GVcg,"Degen Ape #6463",https://arweave.net/dnKB5QGGDFnPxsM7fVnfUUbHWTGIA8lpt5dpYHdpce0,6463,https://arweave.net/YVxJHtid3n8iztw5LajIQbCP3hUc839oTK_Qpgx_6_I,586
4xKqycA77bzHF5R57QXdfy9X7zi2aQkt4LayNUFF9Uvj,2Bc4P6a4ydETxgnN1FwBqeMGbEE8UdV64RVxWJcVBHLm,"Degen Ape #5148",https://arweave.net/LImpJAF_goZ8cw37kucWoK7RQ2KuCaex9gYsPunMSoY,5148,https://arweave.net/p6bN-QbOSmFJhNMgRwmCP23JDwA9KMx1eBoVyNZsbys,587
FLeiG4mrWHr7QBmDpxsQbvSewTsStZvQyQgPj8wFB1z6,BsKV5egtLsik6w6Vmw71p5V8gF6tVpaEyoUaN9PvuiJi,"Degen Ape #1231",https://arweave.net/GAKqDS9VjNoNR7ohwIug-V5ggOXJReeSzbwZsbEmKcI,1231,https://arweave.net/32BxiCB1DVORcmKXMHSIGRBtJ8fdalCV4_juW_-7Pww,588
DoCgDiivxwVgZepSsEEQxaPN1BLVAcKh7efwTZzD5ceS,7E74NZP5hch3mrHSAYeFrrUcER3Z1jwCd8f2i7xsg8LA,"","","","",589
EKnQAFKBHDqxEG9iKkrQu545XzHmy16svL9b2HejQKmw,3vAE8knZfVTzwLURVZvx2Bb4R9MVWzmshAnhTC7iunuY,"Degen Ape #4873",https://arweave.net/ulZy5ttcnM-jFk_USGteDSxAHmo-CF-9ZkYV8Bgrff4,4873,https://arweave.net/WxbZ8oQBDV9Hacnm00stqKxMRqTm6MlkjoA42ntkA9A,590
D68wyYs5w3VZDBJ8WVvjYkaQ9HGL331ju2ucV9FSUmwW,wH77dCcsRySBhozi1SyDZNKbEUui38oz5QmLYTDbjn8,"Degen Ape #8290",https://arweave.net/nv3xlW34VOQj8Al8OqzvKvxYBtswbLeixXGUOrSrLDI,8290,https://arweave.net/F7EC1b5mV84xQ31AZ3nprJriVq1MeaE5RleFJM87SUo,591
