mint_address,meta_address,meta_name,meta_uri,inmate_number,image_uri,genesis_order
DGErKbVnq6RNXUrWDGeEdRKZaBoD3sn877YwARYVbDik,BWHADAyTKKMvdyz3ftMB2h7nxAWTPurxn3umubB1rVtx,"Degen Ape #8003",https://arweave.net/38d3fwEIPibuU_4DGdxaAGHA2Wgf3JDDgYSAiSquxcM,8003,https://arweave.net/RL7jF_D-XmSiBzXTaGid238W9G1nyciDfnbvJqL9Ezc,210
8Nu6zH6hYFYvgSeybRFyWQ9Y1iNQMJPy3x2JTDeWGRud,pEtNwiX1CydkzAAQc5cBmu3ST4FMjLagkdvUkGxPL1a,"","","","",211
9pMbBFNzVJCkiEdTREYnY9VaXfoA6LigSncn6GoVquEU,8xSwUoz1EFA5xtbkoh7DxPPe3QvrD3wwhZDsQaagVgQS,"Degen Ape #7394",https://arweave.net/HuPiwnPXLM-tKI4np6tW-jrxuTyEwQMDBavkTFUryGk,7394,https://arweave.net/0i21heFWvi7iu6Xbm_o9eZJQU9vgdeIPYLa0vIORrFY,216
AAMWQSp8XwDDhxwSaZNHpsrorvVyg7CWga9M3hto6fQH,CsCzf3n93CYttyhaPJyeC9t3vHtmAnsg5MBsEmSTYXPz,"Degen Ape #6332",https://arweave.net/Q_SdfNoY7qO1b0kCYRQQgK0kh6mYhO93qh7X0bGJqE4,6332,https://arweave.net/RzKt__yHWHkyEn-AixsBw0TOGj5HqLk_tPkjc3ZzsXY,218
2bgBcoVPTL7QjC5nEaxoFE7AcXo1DgH8Db97hMKg9nH1,HJKxFfAkF3FWZFMsnZ7cWS4T4xAFHXKmFCE5ebHp7VyE,"Degen Ape #3141",https://arweave.net/jXl2Acmx6bnnBzids04modr1U4iCE2y0hyqbsQubv5A,3141,https://arweave.net/fSdmW1WPMCuCRndex9DX1hjcPdFM8ZPF-qYTDsHtjJA,223
7hfJUSYs4RRmtoy5qfksLRLAJwV8ZurtWReo5KR7GBgL,HotTERCd4rWv7NoxNuLBBtGJuHELjw3uXYTWoq9vxiCT,"Degen Ape #2052",https://arweave.net/WcHIZPYWN_W2X_xXMlJ_0KT2oqUl8QfuJSV_tD3vGO8,2052,https://arweave.net/D2R4RC-5gyacbw9YbX_IZu2nPe7IGlgWB7vK09h0MzI,224
4KHf731Ag1pmXNHP1UtCQNMSJeyCwAVaBEaaNhaS9MLx,EfqM3ztGgbjUBvAai1Ea8gqVS4hM8LW89iag9wiNwG8W,"","","","",225
3QacFT6z1uH2qUdcKXzbCGqpyMKmSUF7aULnK9QdcfMX,Bxnb5LeqCJ7ZNHnmNUCgu1MrMm6Gq2APSxy2dShX6PcG,"","","","",226
3sF1QaRtWgmA4WHyAYmo3g7tV4XFMkP2EBoskdBLPsuQ,HYA4EFpStAETNRdey7MPHr1wMLVvzp4uStNPrqcszUpb,"Degen Ape #958",https://arweave.net/9H5ywv8czLiCWWVZzGRh9voy-x1_ultpgYxteLPn6tQ,958,https://arweave.net/lp_C_2ZQUAEmLwgJYPVNCgp8HEqodRUOJ8kfAd9BlEU,228
FyMRUY1oHdg9GKD8Q1bpzqWcBRyYFDwJiD8xpCPeVoSy,G17DeyqTCWr1FJUVj9WULQNB7c8Rb9dtU4kiRgJWk1cQ,"","","","",232
H8du6ehTddtpsjQpo8UVBDMNhEqvDS81PSgJhUNL7JHG,3wkPRxHaFKW9ocf3AtvrGTG1RY1WpFDwpw1egvYta5RW,"Degen Ape #7772",https://arweave.net/QakZBipzu8SFv0rSsr57tIWseplcd-jogd0kqSYhF4s,7772,https://arweave.net/SbG7hxsUfaE_Hj1vw70-swq452tQUHDVkCcLJdHOXF8,233
EzF4gSJhrWXp4iiHgeoBVtd1Fbz6dzDrZEGv7v1GkZec,9fxFUiMdm5GV7w52WTj7T2fQrJeXCDTTNusEE3NS55nv,"Degen Ape #5465",https://arweave.net/ydsO9trIpZuU3exBTTySpBMCx7rlOT02hoGLKOiwOLo,5465,https://arweave.net/sUgWWVerFR4Ap-rRuwLYr_xAf1BQDhFkYMfJE6Kirh4,236
DmWTdt298c4q8cnB9sRLx7wb9xmvrc1YeeTokhrXuJc9,D88Z3Vqt2N4FwgTzUkqx6znYKmzvy4vMgkqe8LSGJQVa,"","","","",240
74Rady3rQFmHLxcFCerAG5HcHjL8cbB5bap1BE6QAtZa,XaUtLvW2TnYJbNTW2wSag7Cw1RRxv4SrUEaHBr8RiuU,"Degen Ape #7989",https://arweave.net/4aS_h1dBLZ2VT7ToTLh1aMtiieJQYeTcIuRh-9cpA0M,7989,https://arweave.net/CiRnRpPoHtOvgKR2eq5nxB73_UirgicM5r4o1DgLByE,241
BxVAUGcuuWcWyBrCDhwcZZmhTRotGG2ZsxNPMnRsBvqT,HHXbx4zqo9mAtxELCLo2Kz133EHR5XcecYbvmtKesAkX,"Degen Ape #2009",https://arweave.net/1T2wUCgFTFN2WKoeBsbZPBhUGeUjCSs-fkJ3dBSidRg,2009,https://arweave.net/DSeY0UFlLo10NZZzqxb_9UvAWLZZc8FehNLJGDuZ0WI,265
Gk231PwDWukCtHRfM8tZL1c9VxWQANTfh5wEq51BvuVH,C84ANhyqt77cubkSeMwHHy2xqs7p8ZbAEKV5UwSBUXsS,"","","","",269
5AdhUJXm5BoiknmqTURh2NNwdQfhtYH3rPa5kYBCFB3Z,BjpYJp8naNmEsEzNTC7JEJDw7i6jh3BfGToNLoErnRwR,"Degen Ape #8687",https://arweave.net/Y_KFSPh6aL5z76jppGXs05R3E0QQFloe6mCj2PvQ9SY,8687,https://arweave.net/ikR4UGYWBLZZ5tJg19r68lP67JhoIwdStf6xtroADDU,277
D5X5XXJzQyRmDpcP59HyK6Lv4U86MgG1zMa1wP77FRWm,9YS4V5BzR3c3t82zEQyKVdUFXXm5CiFXKwFbjt1Q7vwh,"Degen Ape #98",https://arweave.net/vI5LSlMPYJ1N1j1Hyu_c8Yhc0fxdmfmJlHNa110tSrA,98,https://arweave.net/WTeCpwepLJbtsp8CdvKKwUpmV6c44nBJ39NYVR7TAuY,278
Ht63THdCT7r5jjLyMdPbHkotcSPyuGEf8FAyZyER9RW6,5sCiCPjpdatbFXvqVijn1QPqEz3s27955K6qhehsWtSn,"Degen Ape #354",https://arweave.net/Tb8Ryonmy4Iy5A490fjyyD13kDtFW4z5A7DutbwCmPM,354,https://arweave.net/8K2gcpDZaZoxd0_pZz8gObQQyCHsGiwEjE1xBHg4ei4,279
