mint_address,meta_address,meta_name,meta_uri,inmate_number,image_uri
2KhroyiaagyUCygGxRN8kiHBGA8r4xHQbd8vPfBnB51Y,BLYAs2HKZiDFaxcfLghJZ8QxzcagdfhZ42vMvkgx9Hpu,"ExiledApe 385/518",https://arweave.net/BPp9FJuM-8UCfGt5t3m4tyq7JkHJBTiLIAAGscZFJ-8,8298,https://www.arweave.net/xI9j93cYfoy9aL3vAUg-CWmTZQ5fmj8nGNOtCOpzRiQ?ext=png
2L2jYDeAKK3GG3Z2bkjWuzjsW6Yv34SFhHedhLgP3EB4,85WVaHzV6J4o1o22TP9mW5hPJVM4zW7d7gyudRTfTpDm,"ExiledApe 52/518",https://arweave.net/l96wg_2nWRW6i7tUj-8hjc2SCbOwLMWX9yOSwv0ScxU,2143,https://www.arweave.net/6vDqczqd49WpukhOe62HdL1QHwJQm2VfQ-SdcdN1tFU?ext=png
2MF2FnQEjLwSgEU2rKJysNkFxxEpd12tvRuqQ5KVG3bn,CHtEzrPHMN7UQjBF8BAhi15JxFyjt4AukB2yZGctxpnz,"ExiledApe 155/518",https://arweave.net/14ERxerEWt4z6dTYKbYUlis6g2VEAXQLDnKO7zknUqw,1566,https://www.arweave.net/pNa1UVj-qCHdC-o1RIzl7I5GWd3ZJqRPgFxl0mmniwc?ext=png
2NbLF6EcwmqQWG3tdaL6nWSZEa65egWZt5mc1KsLwrmW,2SkRxXgsFKNrj6dZse569TYSNoHhhfQ5vNhWb3M9K6ET,"ExiledApe 252/518",https://arweave.net/3UYZJ3s5NJECLeNm2korCN9EQSwEs-duBcMfFGiCCX0,7181,https://www.arweave.net/Hzt2dXmgbMXtqXhWQpwt-CuYBy7ctRTYoOQPdXD6jG8?ext=png
2PrkJR3MJf8PLjbgkYfLwnbiietHZ9coja58fVZtKtTB,GuT68JUNdFp8uaiU5k7munexEsX8q6er3EtCSWjE3RZK,"ExiledApe 449/518",https://arweave.net/c5StqigYuHv88fWyNl18dCjRd7rncvD7rJQedQRGjW0,603,https://www.arweave.net/3URRzxeqWwm6fEseSKTO55-hk5nQfSLyq4hmlt_9kpY?ext=png
2PyCEqQ5qhYQhk3RaP2GLC3Yz2jXtX1iTxf7MjEWQLAn,FDAb6Wat5dt5TE3CkRpioY6pk1upC4wBG7Y3hQozTmyt,"ExiledApe 247/518",https://arweave.net/dEeEMW_sblZNza91ZEOJEbGbFDDBHBL22T7YIwfBQYw,-,https://www.arweave.net/9hjixTybmHlL_oSChNamu7O7lfjj3gYIBMi5ZLryuQ4?ext=png
2RYMDcED9yEqLxaKhPYXS1s84N2C714q1hUw1Y6NCg51,Dk6gm1ZdgmUkDctUMKD1T3xx8HwYQasEkrTHptTZ72aP,"ExiledApe 24/518",https://arweave.net/5qUKMq9-MpQWLQ7SL7Nl641idxUHE0_tEmpL8u1LJGc,2709,https://www.arweave.net/RJve9JjYB_ETrQNf-jn-h_Rnf-vztiIsVmxoJDqDqoc?ext=png
2T8rJuqDAxpxKh6xERKePsDr49Bz2WBGNeUm1UMtpsng,4H4zujDx4X5pLvyM47LgVnK71LgrS9gK6CRmWmNuLefg,"ExiledApe 86/518",https://arweave.net/IZtTmrX5jcre2eaWpX2K2c4gDfYrLDb1GLEA1FLOuO0,610,https://www.arweave.net/vB_iZXvcCtoC1e9KSp9goGkfd0q3-3G6YHOhdowEqyw?ext=png
2V2CGRFy8S4dveK4FavoWQThTiZtKRpcuuzsDmJ5RMKt,89p1cf8LqM8uJZiHLH4FMrZCFY3rHZ7tzuNwJnNHDDVQ,"ExiledApe 508/518",https://arweave.net/jdSl4Hl0CrNEbdHtumw8ZfxWSAyOTIP2UE9eDQUNc2s,1302,https://www.arweave.net/SIpgwHnvbiVRfi0TZ5yJKgxiOdQgLnXwXgqRA6LsZ3s?ext=png
2WJkA7NWk5vx8gw1v6BrwTcz65EEppc1dX1NY5L8dJSQ,DXZYE23JHtH4hf62owFp2Arfs4jHabep5b7bTCVaLmkj,"ExiledApe 28/518",https://arweave.net/Y785QwKDOidwewSEReCgmD4WcliWyMHmWILUyxrEwrM,5736,https://www.arweave.net/zj3zBiM4XCz1N4KeKaF9zLtnRLM_ijrgyRPob1oeCQw?ext=png
